Author,Sentence,Length,Clean_Sentence,Author_encoded,negated_cue,amb_count,delay_withheld_info_count,delay_foreshadowing_count,delay_cliffhanger_count,delay_pacing_count,atmosphere_count,amb_adjusted,delay_withheld_info_adjusted,delay_foreshadowing_adjusted,delay_cliffhanger_adjusted,delay_pacing_adjusted,atmosphere_adjusted,length,punctuation_density,avg_word_length,ends_ellipsis,ends_dash,has_semicolon,adj_density,adv_density,modal_density,verb_density,Tag_amb,Tag_atmosphere,Tag_delay:cliffhanger,Tag_delay:foreshadowing,Tag_delay:withheld-info
Stoker,"<delay type=""withheld-info"">He refrained from asking suggestions from any of his friends, for he argued that each
would recommend some place of which he had knowledge, and where he had
already acquaintances.",34,"He refrained from asking suggestions from any of his friends, for he argued that each
would recommend some place of which he had knowledge, and where he had
already acquaintances.",3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0.016666666666666666,5.0,0,0,0,0.0,0.030303030303030304,0.030303030303030304,0.18181818181818182,False,False,False,False,True
Stoker,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",3,0,1,1,0,0,0,8,1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,False,True,False,False,False
Stoker,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",3,0,1,1,0,0,0,8,1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,False,True,False,False,False
Stoker,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",3,0,1,1,0,0,0,8,1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,False,True,False,False,False
Stoker,"<atmosphere>Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.</atmosphere>

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

<atmosphere>in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.<atmosphere>

<atmosphere>It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",111,"Malcolmson looked around the day after
his arrival to try to find quarters more isolated than even so quiet an
inn as ""The Good Traveller"" afforded.

There was only one place which
took his fancy, and it certainly satisfied his wildest ideas
regarding quiet;

in fact, quiet was not the proper word to apply to
it--desolation was the only term conveying any suitable idea of its
isolation.

It was an old, rambling, heavy-built house of the Jacobean
style, with heavy gables and windows, unusually small, and set higher
than was customary in such houses, and was surrounded with a high brick
wall massively built.",3,0,1,1,0,0,0,8,1,1,0,0,0,8,104,0.019543973941368076,4.875,0,0,1,0.13333333333333333,0.058333333333333334,0.0,0.15833333333333333,False,True,False,False,False
Stoker,"<amb>It has been so long empty that some kind of absurd prejudice has grown up about
it,</amb>

and this can be best put down by its occupation--if only,"" he added
with a sly glance at Malcolmson, ""by a scholar like yourself, who wants
its quiet for a time.""

Malcolmson thought it needless to ask the agent about the ""absurd
prejudice""; he knew he would get more information, if he should require
it, on that subject from other quarters.",81,"It has been so long empty that some kind of absurd prejudice has grown up about
it,

and this can be best put down by its occupation--if only,"" he added
with a sly glance at Malcolmson, ""by a scholar like yourself, who wants
its quiet for a time.""

Malcolmson thought it needless to ask the agent about the ""absurd
prejudice""; he knew he would get more information, if he should require
it, on that subject from other quarters.",3,0,1,0,0,0,0,2,1,0,0,0,0,2,78,0.02102803738317757,4.461538461538462,0,0,1,0.0851063829787234,0.0425531914893617,0.031914893617021274,0.13829787234042554,True,False,False,False,False
Stoker,"<amb>""Not in the Judge's House!"" she said, and grew pale as she spoke.</amb>

He explained the locality of the house, saying that he did not know its
name.",31,"""Not in the Judge's House!"" she said, and grew pale as she spoke.

He explained the locality of the house, saying that he did not know its
name.",3,1,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,28,0.034482758620689655,4.142857142857143,0,0,0,0.0,0.05555555555555555,0.0,0.19444444444444445,True,False,False,False,False
Stoker,"<amb>She told him that it was so called locally because it had been many years before--how long she could not
say, as she was herself from another part of the country, but she
thought it must have been a hundred years or more--the abode of a judge
who was held in great terror on account of his harsh sentences and his
hostility to prisoners at Assizes.",69,"She told him that it was so called locally because it had been many years before--how long she could not
say, as she was herself from another part of the country, but she
thought it must have been a hundred years or more--the abode of a judge
who was held in great terror on account of his harsh sentences and his
hostility to prisoners at Assizes.",3,0,1,0,0,0,0,1,1,0,0,0,0,1,66,0.008595988538681949,4.287878787878788,0,0,0,0.0684931506849315,0.0547945205479452,0.0273972602739726,0.1643835616438356,True,False,False,False,False
Stoker,"<amb>If you were my boy--and you'll excuse me for saying it--you wouldn't sleep there a
night, not if I had to go there myself and pull the big alarm bell
that's on the roof!""</amb>

The good creature was so manifestly in earnest, and was so kindly in her intentions, that Malcolmson, although amused,
was touched.",62,"If you were my boy--and you'll excuse me for saying it--you wouldn't sleep there a
night, not if I had to go there myself and pull the big alarm bell
that's on the roof!""

The good creature was so manifestly in earnest, and was so kindly in her intentions, that Malcolmson, although amused,
was touched.",3,0,0,0,0,0,0,1,0,0,0,0,0,1,55,0.023026315789473683,4.509090909090909,0,0,0,0.02857142857142857,0.11428571428571428,0.02857142857142857,0.18571428571428572,True,False,False,False,False
Stoker,"Before going she expressed all sorts of kind wishes, and at the door
turned and said:

<amb>""And perhaps, sir, as the room is big and draughty it might be well to
have one of those big screens put round your bed at night--though truth
to tell, I would die myself if I were to be so shut in with all kinds
of--of 'things,' that put their heads round the sides or over the top, and
look on me!""</amb>

The image which she had called up was too much for her nerves and she fled incontinently.",99,"Before going she expressed all sorts of kind wishes, and at the door
turned and said:

""And perhaps, sir, as the room is big and draughty it might be well to
have one of those big screens put round your bed at night--though truth
to tell, I would die myself if I were to be so shut in with all kinds
of--of 'things,' that put their heads round the sides or over the top, and
look on me!""

The image which she had called up was too much for her nerves and she fled incontinently.",3,0,2,1,1,0,0,1,2,1,1,0,0,1,95,0.016701461377870562,4.021052631578947,0,0,0,0.04504504504504504,0.04504504504504504,0.018018018018018018,0.16216216216216217,True,False,False,False,False
